k,fraction_removed,R0,R_degree,D_degree,Q_degree,R_random_p05,R_random_median,R_random_p95,Q_random_median,G,R_tie_p05,R_tie_median,R_tie_p95,random_fraction_at_least_as_disruptive
0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1,0.3333333333333333,1.0,0.6,0.4,0.6,0.6,0.8,0.8,0.8,0.20000000000000007,0.6,0.6,0.6,0.344
2,0.6666666666666666,1.0,0.4,0.6,0.4,0.4,0.4,0.6,0.4,0.0,0.4,0.4,0.4,0.676
3,1.0,1.0,0.2,0.8,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.2,1.0
