horizon_hours,resources,labels,requested_fraction,k,fraction_removed,R0,R_degree,D_degree,Q_degree,R_random_p05,R_random_median,R_random_p95,Q_random_median,G,R_tie_p05,R_tie_median,R_tie_p95,random_fraction_at_least_as_disruptive
1,3,5,0.1,1,0.3333333333333333,1.0,0.6,0.4,0.6,0.6,0.8,0.8,0.8,0.20000000000000007,0.6,0.6,0.6,0.344
1,3,5,0.25,1,0.3333333333333333,1.0,0.6,0.4,0.6,0.6,0.8,0.8,0.8,0.20000000000000007,0.6,0.6,0.6,0.344
1,3,5,0.5,2,0.6666666666666666,1.0,0.4,0.6,0.4,0.4,0.4,0.6,0.4,0.0,0.4,0.4,0.4,0.676
6,18,27,0.1,2,0.1111111111111111,0.2962962962962963,0.2962962962962963,0.0,1.0,0.2222222222222222,0.25925925925925924,0.2962962962962963,0.875,-0.037037037037037035,0.2222222222222222,0.2962962962962963,0.2962962962962963,1.0
6,18,27,0.25,5,0.2777777777777778,0.2962962962962963,0.2222222222222222,0.07407407407407407,0.75,0.18518518518518517,0.2222222222222222,0.2962962962962963,0.75,0.0,0.18518518518518517,0.2222222222222222,0.2222222222222222,0.598
6,18,27,0.5,9,0.5,0.2962962962962963,0.14814814814814814,0.14814814814814814,0.5,0.1111111111111111,0.18518518518518517,0.22407407407407237,0.625,0.037037037037037035,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.356
24,376,827,0.1,38,0.10106382978723404,0.9467956469165659,0.5888754534461911,0.35792019347037485,0.6219667943805874,0.8160822249093107,0.9129383313180169,0.9286577992744861,0.9642401021711366,0.32406287787182586,0.5767835550181378,0.5840386940749698,0.5888754534461911,0.0
24,376,827,0.25,94,0.25,0.9467956469165659,0.3603385731559855,0.5864570737605804,0.38058748403575987,0.7085247883917775,0.8476420798065296,0.8839177750906893,0.8952745849297573,0.4873035066505441,0.3603385731559855,0.3603385731559855,0.3603385731559855,0.0
24,376,827,0.5,188,0.5,0.9467956469165659,0.10157194679564692,0.845223700120919,0.10727969348659004,0.5138452237001209,0.6644498186215235,0.7751511487303506,0.7017879948914431,0.5628778718258766,0.1124546553808948,0.1354292623941959,0.1523579201934704,0.0
