hour_index,time,horizon_hours,resources,labels,largest_resource_degree,requested_fraction,k,fraction_removed,R0,R_degree,D_degree,Q_degree,R_random_p05,R_random_median,R_random_p95,Q_random_median,G,R_tie_p05,R_tie_median,R_tie_p95,random_fraction_at_least_as_disruptive
8,2026-06-16 08:00:00+00:00,6,5,7,2,0.1,1,0.2,0.7142857142857143,0.5714285714285714,0.1428571428571429,0.7999999999999999,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.7999999999999999,0.0,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.8
8,2026-06-16 08:00:00+00:00,6,5,7,2,0.25,2,0.4,0.7142857142857143,0.42857142857142855,0.28571428571428575,0.6,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.6,0.0,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.706
8,2026-06-16 08:00:00+00:00,6,5,7,2,0.5,3,0.6,0.7142857142857143,0.42857142857142855,0.28571428571428575,0.6,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.39999999999999997,-0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,1.0
8,2026-06-16 08:00:00+00:00,24,5,7,2,0.1,1,0.2,0.7142857142857143,0.5714285714285714,0.1428571428571429,0.7999999999999999,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.7999999999999999,0.0,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.794
8,2026-06-16 08:00:00+00:00,24,5,7,2,0.25,2,0.4,0.7142857142857143,0.42857142857142855,0.28571428571428575,0.6,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.6,0.0,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.69
8,2026-06-16 08:00:00+00:00,24,5,7,2,0.5,3,0.6,0.7142857142857143,0.42857142857142855,0.28571428571428575,0.6,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.39999999999999997,-0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,1.0
9,2026-06-16 09:00:00+00:00,6,10,18,4,0.1,1,0.1,0.5555555555555556,0.5555555555555556,0.0,1.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,1.0,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,1.0
9,2026-06-16 09:00:00+00:00,6,10,18,4,0.25,3,0.3,0.5555555555555556,0.2777777777777778,0.2777777777777778,0.5,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.7999999999999999,0.16666666666666663,0.2222222222222222,0.2777777777777778,0.2777777777777778,0.312
9,2026-06-16 09:00:00+00:00,6,10,18,4,0.5,5,0.5,0.5555555555555556,0.2777777777777778,0.2777777777777778,0.5,0.2222222222222222,0.2777777777777778,0.5,0.5,0.0,0.16666666666666666,0.16666666666666666,0.2777777777777778,0.532
9,2026-06-16 09:00:00+00:00,24,10,18,4,0.1,1,0.1,0.5555555555555556,0.5555555555555556,0.0,1.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,1.0,0.0,0.2777777777777778,0.2777777777777778,0.5555555555555556,1.0
9,2026-06-16 09:00:00+00:00,24,10,18,4,0.25,3,0.3,0.5555555555555556,0.2777777777777778,0.2777777777777778,0.5,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.7999999999999999,0.16666666666666663,0.2222222222222222,0.2777777777777778,0.2777777777777778,0.268
9,2026-06-16 09:00:00+00:00,24,10,18,4,0.5,5,0.5,0.5555555555555556,0.2777777777777778,0.2777777777777778,0.5,0.16666666666666666,0.2777777777777778,0.5,0.5,0.0,0.16666666666666666,0.16666666666666666,0.2777777777777778,0.53
10,2026-06-16 10:00:00+00:00,6,29,45,8,0.1,3,0.10344827586206896,0.6888888888888889,0.4444444444444444,0.24444444444444446,0.6451612903225806,0.4666666666666667,0.6888888888888889,0.6888888888888889,1.0,0.24444444444444446,0.4444444444444444,0.5333333333333333,0.5333333333333333,0.042
10,2026-06-16 10:00:00+00:00,6,29,45,8,0.25,8,0.27586206896551724,0.6888888888888889,0.2222222222222222,0.4666666666666667,0.3225806451612903,0.3111111111111111,0.4888888888888889,0.6888888888888889,0.7096774193548387,0.26666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.014
10,2026-06-16 10:00:00+00:00,6,29,45,8,0.5,15,0.5172413793103449,0.6888888888888889,0.1111111111111111,0.5777777777777777,0.16129032258064516,0.15555555555555556,0.28888888888888886,0.5111111111111111,0.4193548387096774,0.17777777777777776,0.08888888888888889,0.1111111111111111,0.13333333333333333,0.016
10,2026-06-16 10:00:00+00:00,24,29,45,8,0.1,3,0.10344827586206896,0.6888888888888889,0.4444444444444444,0.24444444444444446,0.6451612903225806,0.4888888888888889,0.6888888888888889,0.6888888888888889,1.0,0.24444444444444446,0.4444444444444444,0.5333333333333333,0.5333333333333333,0.018
10,2026-06-16 10:00:00+00:00,24,29,45,8,0.25,8,0.27586206896551724,0.6888888888888889,0.2222222222222222,0.4666666666666667,0.3225806451612903,0.3111111111111111,0.4888888888888889,0.6888888888888889,0.7096774193548387,0.26666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.008
10,2026-06-16 10:00:00+00:00,24,29,45,8,0.5,15,0.5172413793103449,0.6888888888888889,0.1111111111111111,0.5777777777777777,0.16129032258064516,0.17777777777777778,0.3111111111111111,0.5122222222222211,0.45161290322580644,0.2,0.08888888888888889,0.1111111111111111,0.13333333333333333,0.006
11,2026-06-16 11:00:00+00:00,6,40,58,12,0.1,4,0.1,0.6896551724137931,0.5,0.18965517241379315,0.725,0.5172413793103449,0.6724137931034483,0.6896551724137931,0.975,0.1724137931034483,0.5,0.5,0.5,0.04
11,2026-06-16 11:00:00+00:00,6,40,58,12,0.25,10,0.25,0.6896551724137931,0.39655172413793105,0.2931034482758621,0.575,0.46551724137931033,0.6551724137931034,0.6896551724137931,0.95,0.2586206896551724,0.39655172413793105,0.39655172413793105,0.39655172413793105,0.002
11,2026-06-16 11:00:00+00:00,6,40,58,12,0.5,20,0.5,0.6896551724137931,0.10344827586206896,0.5862068965517242,0.15,0.3103448275862069,0.46551724137931033,0.6379310344827587,0.6749999999999999,0.3620689655172414,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.0
11,2026-06-16 11:00:00+00:00,24,40,58,12,0.1,4,0.1,0.6896551724137931,0.5,0.18965517241379315,0.725,0.5172413793103449,0.6724137931034483,0.6896551724137931,0.975,0.1724137931034483,0.5,0.5,0.5,0.046
11,2026-06-16 11:00:00+00:00,24,40,58,12,0.25,10,0.25,0.6896551724137931,0.39655172413793105,0.2931034482758621,0.575,0.46551724137931033,0.6551724137931034,0.6896551724137931,0.95,0.2586206896551724,0.39655172413793105,0.39655172413793105,0.39655172413793105,0.008
11,2026-06-16 11:00:00+00:00,24,40,58,12,0.5,20,0.5,0.6896551724137931,0.10344827586206896,0.5862068965517242,0.15,0.29310344827586204,0.46551724137931033,0.6379310344827587,0.6749999999999999,0.3620689655172414,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.0
12,2026-06-16 12:00:00+00:00,6,43,61,12,0.1,5,0.11627906976744186,0.6557377049180327,0.47540983606557374,0.180327868852459,0.725,0.4918032786885246,0.639344262295082,0.6557377049180327,0.9750000000000001,0.16393442622950827,0.47540983606557374,0.47540983606557374,0.47540983606557374,0.048
12,2026-06-16 12:00:00+00:00,6,43,61,12,0.25,11,0.2558139534883721,0.6557377049180327,0.36065573770491804,0.2950819672131147,0.55,0.4426229508196721,0.6065573770491803,0.6557377049180327,0.925,0.2459016393442623,0.36065573770491804,0.4098360655737705,0.45901639344262296,0.006
12,2026-06-16 12:00:00+00:00,6,43,61,12,0.5,22,0.5116279069767442,0.6557377049180327,0.09836065573770492,0.5573770491803278,0.15000000000000002,0.3106557377049181,0.45901639344262296,0.6065573770491803,0.7000000000000001,0.36065573770491804,0.09836065573770492,0.09836065573770492,0.09836065573770492,0.0
