k,policy,largest_label_component,R,subsets,total_subsets,probability
0,uniform,5,1.0,1,1,1.0
0,degree_ties,5,1.0,1,1,1.0
1,uniform,3,0.6,1,3,0.3333333333333333
1,uniform,4,0.8,2,3,0.6666666666666666
1,degree_ties,3,0.6,1,1,1.0
2,uniform,2,0.4,2,3,0.6666666666666666
2,uniform,3,0.6,1,3,0.3333333333333333
2,degree_ties,2,0.4,2,2,1.0
3,uniform,1,0.2,1,1,1.0
3,degree_ties,1,0.2,1,1,1.0
