k,fraction_removed,R0,R_degree,D_degree,Q_degree,R_random_p05,R_random_median,R_random_p95,Q_random_median,G,R_tie_p05,R_tie_median,R_tie_p95,random_fraction_at_least_as_disruptive
0,0.0,0.9467312348668281,0.9467312348668281,0.0,1.0,0.9467312348668281,0.9467312348668281,0.9467312348668281,1.0,0.0,0.9467312348668281,0.9467312348668281,0.9467312348668281,1.0
1,0.0026595744680851063,0.9467312348668281,0.8523002421307506,0.09443099273607747,0.9002557544757034,0.9430992736077481,0.9467312348668281,0.9467312348668281,1.0,0.09443099273607747,0.8523002421307506,0.8523002421307506,0.8523002421307506,0.002
2,0.005319148936170213,0.9467312348668281,0.8099273607748184,0.13680387409200967,0.8554987212276215,0.9394673123486683,0.9455205811138014,0.9467312348668281,0.9987212276214834,0.13559322033898302,0.8099273607748184,0.8099273607748184,0.8099273607748184,0.0
3,0.007978723404255319,0.9467312348668281,0.788135593220339,0.1585956416464891,0.8324808184143223,0.935774818401937,0.9455205811138014,0.9467312348668281,0.9987212276214834,0.15738498789346245,0.788135593220339,0.788135593220339,0.788135593220339,0.0
4,0.010638297872340425,0.9467312348668281,0.7784503631961259,0.16828087167070216,0.8222506393861893,0.9334140435835351,0.9443099273607748,0.9467312348668281,0.9974424552429667,0.16585956416464886,0.7772397094430993,0.7784503631961259,0.7784503631961259,0.0
5,0.013297872340425532,0.9467312348668281,0.7675544794188862,0.17917675544794187,0.8107416879795396,0.932142857142857,0.9430992736077481,0.9467312348668281,0.9961636828644501,0.17554479418886193,0.7675544794188862,0.7675544794188862,0.7675544794188862,0.0
6,0.015957446808510637,0.9467312348668281,0.7530266343825666,0.19370460048426152,0.7953964194373401,0.9285714285714286,0.9430992736077481,0.9467312348668281,0.9961636828644501,0.19007263922518158,0.7518159806295399,0.7518159806295399,0.7530266343825666,0.0
7,0.018617021276595744,0.9467312348668281,0.7372881355932204,0.2094430992736077,0.7787723785166241,0.9260895883777239,0.9418886198547215,0.9467312348668281,0.9948849104859334,0.20460048426150113,0.7372881355932204,0.7372881355932204,0.7372881355932204,0.0
8,0.02127659574468085,0.9467312348668281,0.7288135593220338,0.21791767554479424,0.7698209718670076,0.9171912832929783,0.940677966101695,0.9455205811138014,0.9936061381074169,0.21186440677966112,0.7288135593220338,0.7288135593220338,0.7288135593220338,0.0
9,0.023936170212765957,0.9467312348668281,0.7203389830508474,0.22639225181598066,0.7608695652173912,0.9055690072639225,0.940677966101695,0.9455205811138014,0.9936061381074169,0.22033898305084754,0.7203389830508474,0.7203389830508474,0.7203389830508474,0.0
