horizon_hours,snapshot_offset_seconds,resources,labels,requested_fraction,k,fraction_removed,R0,R_degree,D_degree,Q_degree,R_random_p05,R_random_median,R_random_p95,Q_random_median,G,R_tie_p05,R_tie_median,R_tie_p95,random_fraction_at_least_as_disruptive
1,-1,3,5,0.1,1,0.3333333333333333,1.0,0.6,0.4,0.6,0.6,0.8,0.8,0.8,0.20000000000000007,0.6,0.6,0.6,0.344
1,-1,3,5,0.25,1,0.3333333333333333,1.0,0.6,0.4,0.6,0.6,0.8,0.8,0.8,0.20000000000000007,0.6,0.6,0.6,0.344
1,-1,3,5,0.5,2,0.6666666666666666,1.0,0.4,0.6,0.4,0.4,0.4,0.6,0.4,0.0,0.4,0.4,0.4,0.676
1,0,3,5,0.1,1,0.3333333333333333,1.0,0.6,0.4,0.6,0.6,0.8,0.8,0.8,0.20000000000000007,0.6,0.6,0.6,0.344
1,0,3,5,0.25,1,0.3333333333333333,1.0,0.6,0.4,0.6,0.6,0.8,0.8,0.8,0.20000000000000007,0.6,0.6,0.6,0.344
1,0,3,5,0.5,2,0.6666666666666666,1.0,0.4,0.6,0.4,0.4,0.4,0.6,0.4,0.0,0.4,0.4,0.4,0.676
1,1,3,5,0.1,1,0.3333333333333333,1.0,0.6,0.4,0.6,0.6,0.8,0.8,0.8,0.20000000000000007,0.6,0.6,0.6,0.344
1,1,3,5,0.25,1,0.3333333333333333,1.0,0.6,0.4,0.6,0.6,0.8,0.8,0.8,0.20000000000000007,0.6,0.6,0.6,0.344
1,1,3,5,0.5,2,0.6666666666666666,1.0,0.4,0.6,0.4,0.4,0.4,0.6,0.4,0.0,0.4,0.4,0.4,0.676
6,-1,18,27,0.1,2,0.1111111111111111,0.2962962962962963,0.2962962962962963,0.0,1.0,0.2222222222222222,0.25925925925925924,0.2962962962962963,0.875,-0.037037037037037035,0.2222222222222222,0.2962962962962963,0.2962962962962963,1.0
6,-1,18,27,0.25,5,0.2777777777777778,0.2962962962962963,0.2222222222222222,0.07407407407407407,0.75,0.18518518518518517,0.2222222222222222,0.2962962962962963,0.75,0.0,0.18518518518518517,0.2222222222222222,0.2222222222222222,0.598
6,-1,18,27,0.5,9,0.5,0.2962962962962963,0.14814814814814814,0.14814814814814814,0.5,0.1111111111111111,0.18518518518518517,0.22407407407407237,0.625,0.037037037037037035,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.356
6,0,18,27,0.1,2,0.1111111111111111,0.2962962962962963,0.2962962962962963,0.0,1.0,0.2222222222222222,0.25925925925925924,0.2962962962962963,0.875,-0.037037037037037035,0.2222222222222222,0.2962962962962963,0.2962962962962963,1.0
6,0,18,27,0.25,5,0.2777777777777778,0.2962962962962963,0.2222222222222222,0.07407407407407407,0.75,0.18518518518518517,0.2222222222222222,0.2962962962962963,0.75,0.0,0.18518518518518517,0.2222222222222222,0.2222222222222222,0.598
6,0,18,27,0.5,9,0.5,0.2962962962962963,0.14814814814814814,0.14814814814814814,0.5,0.1111111111111111,0.18518518518518517,0.22407407407407237,0.625,0.037037037037037035,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.356
6,1,18,27,0.1,2,0.1111111111111111,0.2962962962962963,0.2962962962962963,0.0,1.0,0.2222222222222222,0.25925925925925924,0.2962962962962963,0.875,-0.037037037037037035,0.2222222222222222,0.2962962962962963,0.2962962962962963,1.0
6,1,18,27,0.25,5,0.2777777777777778,0.2962962962962963,0.2222222222222222,0.07407407407407407,0.75,0.18518518518518517,0.2222222222222222,0.2962962962962963,0.75,0.0,0.18518518518518517,0.2222222222222222,0.2222222222222222,0.598
6,1,18,27,0.5,9,0.5,0.2962962962962963,0.14814814814814814,0.14814814814814814,0.5,0.1111111111111111,0.18518518518518517,0.22407407407407237,0.625,0.037037037037037035,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.356
24,-1,376,826,0.1,38,0.10106382978723404,0.9467312348668281,0.589588377723971,0.3571428571428571,0.6227621483375959,0.8158595641646489,0.9128329297820823,0.9285714285714286,0.9641943734015345,0.3232445520581113,0.5774818401937046,0.5835351089588378,0.589588377723971,0.0
24,-1,376,826,0.25,94,0.25,0.9467312348668281,0.36077481840193704,0.585956416464891,0.38107416879795397,0.7081719128329298,0.847457627118644,0.8837772397094431,0.8951406649616368,0.486682808716707,0.36077481840193704,0.36077481840193704,0.36077481840193704,0.0
24,-1,376,826,0.5,188,0.5,0.9467312348668281,0.1016949152542373,0.8450363196125907,0.10741687979539642,0.5132566585956416,0.6640435835351091,0.7748789346246973,0.7014066496163684,0.5623486682808718,0.11131961259079903,0.1368038740920097,0.15254237288135594,0.0
24,0,376,826,0.1,38,0.10106382978723404,0.9467312348668281,0.589588377723971,0.3571428571428571,0.6227621483375959,0.8158595641646489,0.9128329297820823,0.9285714285714286,0.9641943734015345,0.3232445520581113,0.5774818401937046,0.5835351089588378,0.589588377723971,0.0
24,0,376,826,0.25,94,0.25,0.9467312348668281,0.36077481840193704,0.585956416464891,0.38107416879795397,0.7081719128329298,0.847457627118644,0.8837772397094431,0.8951406649616368,0.486682808716707,0.36077481840193704,0.36077481840193704,0.36077481840193704,0.0
24,0,376,826,0.5,188,0.5,0.9467312348668281,0.1016949152542373,0.8450363196125907,0.10741687979539642,0.5132566585956416,0.6640435835351091,0.7748789346246973,0.7014066496163684,0.5623486682808718,0.11131961259079903,0.1368038740920097,0.15254237288135594,0.0
24,1,376,826,0.1,38,0.10106382978723404,0.9467312348668281,0.589588377723971,0.3571428571428571,0.6227621483375959,0.8158595641646489,0.9128329297820823,0.9285714285714286,0.9641943734015345,0.3232445520581113,0.5774818401937046,0.5835351089588378,0.589588377723971,0.0
24,1,376,826,0.25,94,0.25,0.9467312348668281,0.36077481840193704,0.585956416464891,0.38107416879795397,0.7081719128329298,0.847457627118644,0.8837772397094431,0.8951406649616368,0.486682808716707,0.36077481840193704,0.36077481840193704,0.36077481840193704,0.0
24,1,376,826,0.5,188,0.5,0.9467312348668281,0.1016949152542373,0.8450363196125907,0.10741687979539642,0.5132566585956416,0.6640435835351091,0.7748789346246973,0.7014066496163684,0.5623486682808718,0.11131961259079903,0.1368038740920097,0.15254237288135594,0.0
