hour_index,time,requested_fraction_of_recent_resources,k,older_candidates,recent_resources,recent_labels,R6_0,Q6_recent_degree,Q6_older_degree,Q6_uniform_median,Q6_uniform_p05,Q6_uniform_p95,Q6_older_ties_p05,Q6_older_ties_median,Q6_older_ties_p95,Q6_recent_ties_p05,Q6_recent_ties_p95,recent_resources_selected_by_older_degree,recent_resource_coverage_older_degree,recent_resource_coverage_recent_degree,recent_resource_coverage_uniform_median,recent_resource_coverage_older_ties_p05,recent_resource_coverage_older_ties_p95,fraction_older_degree_actions_outside_recent
26,2026-06-17 02:00:00+00:00,0.5,90,285,180,383,0.97911227154047,0.058666666666666666,0.28,0.7946666666666666,0.7145333333333334,0.8613333333333333,0.19733333333333333,0.24266666666666667,0.29333333333333333,0.021333333333333333,0.058666666666666666,65,0.3611111111111111,0.5,0.31666666666666665,0.3611111111111111,0.37777777777777777,0.2777777777777778
26,2026-06-17 02:00:00+00:00,1.0,180,285,180,383,0.97911227154047,0.0026666666666666666,0.021333333333333333,0.5146666666666667,0.39973333333333333,0.6213333333333333,0.013333333333333334,0.018666666666666668,0.021333333333333333,0.0026666666666666666,0.0026666666666666666,116,0.6444444444444445,1.0,0.6277777777777778,0.6555555555555556,0.6888888888888889,0.3555555555555555
27,2026-06-17 03:00:00+00:00,0.1,17,313,161,334,0.9580838323353293,0.675,0.79375,0.975,0.9154687499999999,0.990625,0.79375,0.79375,0.79375,0.675,0.675,9,0.055900621118012424,0.10559006211180125,0.055900621118012424,0.055900621118012424,0.055900621118012424,0.47058823529411764
27,2026-06-17 03:00:00+00:00,0.25,41,313,161,334,0.9580838323353293,0.44375,0.6375,0.925,0.853125,0.9595312499999998,0.63125,0.6375,0.64375,0.45625,0.48125,25,0.15527950310559005,0.2546583850931677,0.13043478260869565,0.15527950310559005,0.16149068322981366,0.3902439024390244
27,2026-06-17 03:00:00+00:00,0.5,81,313,161,334,0.9580838323353293,0.0625,0.434375,0.8375,0.74671875,0.90625,0.35625,0.409375,0.434375,0.03125,0.078125,50,0.3105590062111801,0.5031055900621118,0.2546583850931677,0.30434782608695654,0.32298136645962733,0.3827160493827161
27,2026-06-17 03:00:00+00:00,1.0,161,313,161,334,0.9580838323353293,0.003125,0.028125,0.63125,0.51234375,0.7407812499999998,0.021875,0.028125,0.046875,0.003125,0.003125,87,0.5403726708074534,1.0,0.515527950310559,0.5403726708074534,0.577639751552795,0.45962732919254656
28,2026-06-17 04:00:00+00:00,0.1,13,330,123,276,0.9637681159420289,0.6578947368421053,0.8308270676691729,0.981203007518797,0.9360902255639098,0.9962406015037594,0.8308270676691729,0.8308270676691729,0.8308270676691729,0.6578947368421053,0.6578947368421053,6,0.04878048780487805,0.10569105691056911,0.04065040650406504,0.04878048780487805,0.04878048780487805,0.5384615384615384
28,2026-06-17 04:00:00+00:00,0.25,31,330,123,276,0.9637681159420289,0.3609022556390977,0.6691729323308271,0.943609022556391,0.8607142857142857,0.9774436090225563,0.6691729323308271,0.6691729323308271,0.6691729323308271,0.33458646616541354,0.36466165413533835,13,0.10569105691056911,0.25203252032520324,0.09349593495934959,0.10569105691056911,0.10569105691056911,0.5806451612903225
28,2026-06-17 04:00:00+00:00,0.5,62,330,123,276,0.9637681159420289,0.03759398496240601,0.5488721804511278,0.8759398496240601,0.7742481203007519,0.9360902255639098,0.5075187969924813,0.5300751879699248,0.5488721804511278,0.03007518796992481,0.06390977443609022,22,0.17886178861788618,0.5040650406504065,0.18699186991869918,0.18699186991869918,0.2032520325203252,0.6451612903225806
28,2026-06-17 04:00:00+00:00,1.0,123,330,123,276,0.9637681159420289,0.0037593984962406013,0.14661654135338345,0.7255639097744361,0.5864661654135338,0.8195488721804511,0.11654135338345864,0.14661654135338345,0.21823308270676675,0.0037593984962406013,0.0037593984962406013,49,0.3983739837398374,1.0,0.37398373983739835,0.3902439024390244,0.42276422764227645,0.6016260162601625
29,2026-06-17 05:00:00+00:00,0.1,11,338,104,230,0.9130434782608695,0.6333333333333333,0.8380952380952381,0.9857142857142858,0.9380952380952381,1.0,0.8380952380952381,0.8380952380952381,0.8380952380952381,0.6333333333333333,0.6333333333333333,3,0.028846153846153848,0.10576923076923077,0.028846153846153848,0.028846153846153848,0.028846153846153848,0.7272727272727273
29,2026-06-17 05:00:00+00:00,0.25,26,338,104,230,0.9130434782608695,0.37142857142857144,0.7095238095238096,0.9571428571428572,0.8664285714285713,0.9857142857142858,0.7095238095238096,0.7095238095238096,0.7142857142857143,0.36666666666666664,0.38571428571428573,7,0.0673076923076923,0.25,0.07692307692307693,0.057692307692307696,0.0673076923076923,0.7307692307692308
29,2026-06-17 05:00:00+00:00,0.5,52,338,104,230,0.9130434782608695,0.0380952380952381,0.6190476190476191,0.9095238095238095,0.780952380952381,0.9571428571428572,0.6095238095238096,0.6190476190476191,0.6190476190476191,0.02857142857142857,0.05238095238095238,13,0.125,0.5,0.15384615384615385,0.125,0.1346153846153846,0.75
29,2026-06-17 05:00:00+00:00,1.0,104,338,104,230,0.9130434782608695,0.004761904761904762,0.3619047619047619,0.7904761904761904,0.6569047619047619,0.8761904761904762,0.3619047619047619,0.3619047619047619,0.3619047619047619,0.004761904761904762,0.004761904761904762,31,0.2980769230769231,1.0,0.3076923076923077,0.2980769230769231,0.2980769230769231,0.7019230769230769
30,2026-06-17 06:00:00+00:00,0.1,10,343,98,217,0.9262672811059908,0.6417910447761194,0.8855721393034826,0.9850746268656716,0.9402985074626866,1.0,0.8855721393034826,0.8855721393034826,0.8855721393034826,0.6218905472636815,0.6417910447761194,2,0.02040816326530612,0.10204081632653061,0.030612244897959183,0.02040816326530612,0.02040816326530612,0.8
30,2026-06-17 06:00:00+00:00,0.25,25,343,98,217,0.9262672811059908,0.3880597014925373,0.7263681592039801,0.9552238805970149,0.8706467661691543,0.9850746268656716,0.7263681592039801,0.7263681592039801,0.7263681592039801,0.35323383084577115,0.4079601990049751,6,0.061224489795918366,0.25510204081632654,0.07142857142857142,0.061224489795918366,0.061224489795918366,0.76
30,2026-06-17 06:00:00+00:00,0.5,49,343,98,217,0.9262672811059908,0.03980099502487562,0.6268656716417911,0.9104477611940298,0.7907960199004974,0.9601990049751243,0.6268656716417911,0.6268656716417911,0.6268656716417911,0.029850746268656716,0.06467661691542288,12,0.12244897959183673,0.5,0.14285714285714285,0.12244897959183673,0.12244897959183673,0.7551020408163265
30,2026-06-17 06:00:00+00:00,1.0,98,343,98,217,0.9262672811059908,0.004975124378109453,0.4129353233830846,0.7960199004975125,0.6216417910447761,0.8855721393034826,0.38308457711442784,0.4129353233830846,0.4577114427860697,0.004975124378109453,0.004975124378109453,26,0.2653061224489796,1.0,0.2857142857142857,0.24489795918367346,0.2857142857142857,0.7346938775510203
31,2026-06-17 07:00:00+00:00,0.1,10,350,92,209,0.9186602870813397,0.6302083333333334,0.8854166666666666,0.9895833333333334,0.9375,1.0,0.8854166666666666,0.8854166666666666,0.8854166666666666,0.6302083333333334,0.6302083333333334,2,0.021739130434782608,0.10869565217391304,0.03260869565217391,0.021739130434782608,0.021739130434782608,0.8
31,2026-06-17 07:00:00+00:00,0.25,23,350,92,209,0.9186602870813397,0.4114583333333333,0.71875,0.96875,0.875,0.9895833333333334,0.71875,0.71875,0.71875,0.4010416666666667,0.4270833333333333,6,0.06521739130434782,0.25,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.7391304347826086
31,2026-06-17 07:00:00+00:00,0.5,46,350,92,209,0.9186602870813397,0.08333333333333333,0.671875,0.921875,0.8072916666666666,0.96875,0.671875,0.671875,0.671875,0.046875,0.11458333333333333,10,0.10869565217391304,0.5,0.13043478260869565,0.10869565217391304,0.10869565217391304,0.782608695652174
31,2026-06-17 07:00:00+00:00,1.0,92,350,92,209,0.9186602870813397,0.005208333333333333,0.5208333333333334,0.8229166666666666,0.6822916666666666,0.90625,0.44244791666666666,0.4895833333333333,0.5208333333333334,0.005208333333333333,0.005208333333333333,20,0.21739130434782608,1.0,0.2608695652173913,0.21739130434782608,0.25,0.782608695652174
32,2026-06-17 08:00:00+00:00,0.1,9,358,81,167,0.9101796407185628,0.75,0.9407894736842105,0.9868421052631579,0.9539473684210527,1.0,0.9407894736842105,0.9407894736842105,0.9407894736842105,0.7039473684210527,0.7631578947368421,2,0.024691358024691357,0.1111111111111111,0.024691358024691357,0.024691358024691357,0.024691358024691357,0.7777777777777778
32,2026-06-17 08:00:00+00:00,0.25,21,358,81,167,0.9101796407185628,0.48026315789473684,0.875,0.9671052631578947,0.9078947368421053,0.993421052631579,0.875,0.875,0.875,0.42105263157894735,0.5131578947368421,5,0.06172839506172839,0.25925925925925924,0.06172839506172839,0.06172839506172839,0.06172839506172839,0.7619047619047619
32,2026-06-17 08:00:00+00:00,0.5,41,358,81,167,0.9101796407185628,0.05263157894736842,0.8618421052631579,0.9276315789473685,0.8552631578947368,0.9736842105263158,0.8552631578947368,0.8618421052631579,0.8618421052631579,0.05263157894736842,0.06578947368421052,6,0.07407407407407407,0.5061728395061729,0.1111111111111111,0.07407407407407407,0.08641975308641975,0.8536585365853658
32,2026-06-17 08:00:00+00:00,1.0,81,358,81,167,0.9101796407185628,0.006578947368421052,0.5986842105263158,0.8486842105263158,0.749671052631579,0.9144736842105263,0.5986842105263158,0.631578947368421,0.6973684210526315,0.006578947368421052,0.006578947368421052,15,0.18518518518518517,1.0,0.2222222222222222,0.16049382716049382,0.19753086419753085,0.8148148148148149
33,2026-06-17 09:00:00+00:00,0.1,7,359,62,127,0.905511811023622,0.6608695652173913,0.9739130434782609,0.991304347826087,0.9473913043478261,1.0,0.9739130434782609,0.9739130434782609,0.9739130434782609,0.6608695652173913,0.6608695652173913,2,0.03225806451612903,0.11290322580645161,0.016129032258064516,0.03225806451612903,0.03225806451612903,0.7142857142857143
33,2026-06-17 09:00:00+00:00,0.25,16,359,62,127,0.905511811023622,0.391304347826087,0.9652173913043478,0.9739130434782609,0.8865217391304349,1.0,0.9652173913043478,0.9652173913043478,0.9652173913043478,0.3739130434782609,0.4,4,0.06451612903225806,0.25806451612903225,0.04838709677419355,0.06451612903225806,0.06451612903225806,0.75
33,2026-06-17 09:00:00+00:00,0.5,31,359,62,127,0.905511811023622,0.05217391304347826,0.8521739130434782,0.9478260869565217,0.8434782608695652,0.9826086956521739,0.8521739130434782,0.8521739130434782,0.8521739130434782,0.043478260869565216,0.05217391304347826,6,0.0967741935483871,0.5,0.08064516129032258,0.0967741935483871,0.0967741935483871,0.8064516129032258
33,2026-06-17 09:00:00+00:00,1.0,62,359,62,127,0.905511811023622,0.008695652173913044,0.7391304347826086,0.8695652173913043,0.7217391304347827,0.9478260869565217,0.6869565217391305,0.7391304347826086,0.7391304347826086,0.008695652173913044,0.008695652173913044,9,0.14516129032258066,1.0,0.1774193548387097,0.14516129032258066,0.16129032258064516,0.8548387096774194
34,2026-06-17 10:00:00+00:00,0.1,5,357,49,105,0.8,0.5714285714285714,0.9047619047619048,1.0,0.9166666666666666,1.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.5714285714285714,0.5714285714285714,2,0.04081632653061224,0.10204081632653061,0.02040816326530612,0.04081632653061224,0.04081632653061224,0.6
34,2026-06-17 10:00:00+00:00,0.25,13,357,49,105,0.8,0.08333333333333333,0.9047619047619048,0.9880952380952381,0.8690476190476191,1.0,0.6904761904761905,0.6904761904761905,0.9047619047619048,0.07142857142857142,0.13095238095238096,2,0.04081632653061224,0.2653061224489796,0.04081632653061224,0.04081632653061224,0.061224489795918366,0.8461538461538461
34,2026-06-17 10:00:00+00:00,0.5,25,357,49,105,0.8,0.03571428571428571,0.6785714285714286,0.9642857142857143,0.7619047619047619,1.0,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.03571428571428571,0.047619047619047616,5,0.10204081632653061,0.5102040816326531,0.061224489795918366,0.10204081632653061,0.10204081632653061,0.8
34,2026-06-17 10:00:00+00:00,1.0,49,357,49,105,0.8,0.011904761904761904,0.6071428571428571,0.9047619047619048,0.6666666666666666,0.9880952380952381,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.011904761904761904,0.011904761904761904,7,0.14285714285714285,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.8571428571428572
35,2026-06-17 11:00:00+00:00,0.1,5,354,45,95,0.7789473684210526,0.36486486486486486,0.9054054054054054,1.0,0.9324324324324325,1.0,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.21621621621621623,0.5,2,0.044444444444444446,0.1111111111111111,0.022222222222222223,0.044444444444444446,0.044444444444444446,0.6
35,2026-06-17 11:00:00+00:00,0.25,12,354,45,95,0.7789473684210526,0.08108108108108109,0.9054054054054054,0.9864864864864865,0.8918918918918919,1.0,0.5675675675675675,0.9054054054054054,0.9054054054054054,0.08108108108108109,0.12162162162162163,2,0.044444444444444446,0.26666666666666666,0.022222222222222223,0.044444444444444446,0.06666666666666667,0.8333333333333334
35,2026-06-17 11:00:00+00:00,0.5,23,354,45,95,0.7789473684210526,0.04054054054054054,0.5540540540540541,0.9594594594594594,0.7027027027027027,1.0,0.5540540540540541,0.5540540540540541,0.5540540540540541,0.04054054054054054,0.05405405405405406,5,0.1111111111111111,0.5111111111111111,0.06666666666666667,0.1111111111111111,0.1111111111111111,0.782608695652174
35,2026-06-17 11:00:00+00:00,1.0,45,354,45,95,0.7789473684210526,0.013513513513513514,0.5405405405405406,0.9054054054054054,0.5804054054054054,0.9864864864864865,0.5405405405405406,0.5405405405405406,0.5405405405405406,0.013513513513513514,0.013513513513513514,7,0.15555555555555556,1.0,0.13333333333333333,0.15555555555555556,0.15555555555555556,0.8444444444444444
36,2026-06-17 12:00:00+00:00,0.1,5,350,41,86,0.813953488372093,0.35714285714285715,0.9285714285714286,1.0,0.9428571428571428,1.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.24285714285714285,0.35714285714285715,1,0.024390243902439025,0.12195121951219512,0.0,0.024390243902439025,0.024390243902439025,0.8
36,2026-06-17 12:00:00+00:00,0.25,11,350,41,86,0.813953488372093,0.11428571428571428,0.9285714285714286,0.9857142857142858,0.8857142857142857,1.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.11428571428571428,0.15714285714285714,1,0.024390243902439025,0.2682926829268293,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.9090909090909091
36,2026-06-17 12:00:00+00:00,0.5,21,350,41,86,0.813953488372093,0.07142857142857142,0.34285714285714286,0.9714285714285714,0.7528571428571431,1.0,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.04285714285714286,0.08571428571428572,4,0.0975609756097561,0.5121951219512195,0.04878048780487805,0.0975609756097561,0.0975609756097561,0.8095238095238095
36,2026-06-17 12:00:00+00:00,1.0,41,350,41,86,0.813953488372093,0.014285714285714285,0.34285714285714286,0.9142857142857143,0.5421428571428571,0.9857142857142858,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.014285714285714285,0.014285714285714285,4,0.0975609756097561,1.0,0.12195121951219512,0.0975609756097561,0.0975609756097561,0.9024390243902439
37,2026-06-17 13:00:00+00:00,0.1,4,346,31,77,0.7532467532467533,0.1206896551724138,1.0,1.0,0.8793103448275862,1.0,1.0,1.0,1.0,0.1206896551724138,0.1206896551724138,0,0.0,0.12903225806451613,0.0,0.0,0.0,1.0
37,2026-06-17 13:00:00+00:00,0.25,8,346,31,77,0.7532467532467533,0.08620689655172414,0.8448275862068966,1.0,0.8448275862068966,1.0,0.8448275862068966,0.8448275862068966,0.8448275862068966,0.08620689655172414,0.08620689655172414,1,0.03225806451612903,0.25806451612903225,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.875
37,2026-06-17 13:00:00+00:00,0.5,16,346,31,77,0.7532467532467533,0.05172413793103448,0.25862068965517243,0.9827586206896551,0.5,1.0,0.25862068965517243,0.25862068965517243,0.25862068965517243,0.05172413793103448,0.05172413793103448,3,0.0967741935483871,0.5161290322580645,0.03225806451612903,0.0967741935483871,0.0967741935483871,0.8125
37,2026-06-17 13:00:00+00:00,1.0,31,346,31,77,0.7532467532467533,0.017241379310344827,0.2413793103448276,0.9568965517241379,0.4827586206896552,1.0,0.2413793103448276,0.25862068965517243,0.25862068965517243,0.017241379310344827,0.017241379310344827,5,0.16129032258064516,1.0,0.0967741935483871,0.12903225806451613,0.16129032258064516,0.8387096774193549
38,2026-06-17 14:00:00+00:00,0.1,2,346,17,50,0.76,0.34210526315789475,1.0,1.0,0.9736842105263158,1.0,1.0,1.0,1.0,0.34210526315789475,0.34210526315789475,0,0.0,0.11764705882352941,0.0,0.0,0.0,1.0
38,2026-06-17 14:00:00+00:00,0.25,5,346,17,50,0.76,0.10526315789473684,0.8157894736842105,1.0,0.9210526315789473,1.0,0.8157894736842105,0.8157894736842105,0.8157894736842105,0.10526315789473684,0.15789473684210525,1,0.058823529411764705,0.29411764705882354,0.0,0.058823529411764705,0.058823529411764705,0.8
38,2026-06-17 14:00:00+00:00,0.5,9,346,17,50,0.76,0.07894736842105263,0.8157894736842105,1.0,0.8144736842105263,1.0,0.8157894736842105,0.8157894736842105,0.8157894736842105,0.07894736842105263,0.07894736842105263,1,0.058823529411764705,0.5294117647058824,0.0,0.058823529411764705,0.058823529411764705,0.8888888888888888
38,2026-06-17 14:00:00+00:00,1.0,17,346,17,50,0.76,0.02631578947368421,0.34210526315789475,1.0,0.5,1.0,0.34210526315789475,0.34210526315789475,0.34210526315789475,0.02631578947368421,0.02631578947368421,2,0.11764705882352941,1.0,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.8823529411764706
39,2026-06-17 15:00:00+00:00,0.1,1,346,10,31,0.45161290322580644,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.7142857142857143,0,0.0,0.1,0.0,0.0,0.0,1.0
39,2026-06-17 15:00:00+00:00,0.25,3,346,10,31,0.45161290322580644,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.7142857142857143,0,0.0,0.3,0.0,0.0,0.0,1.0
39,2026-06-17 15:00:00+00:00,0.5,5,346,10,31,0.45161290322580644,0.6428571428571429,0.7142857142857143,1.0,0.9285714285714286,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.35714285714285715,0.6428571428571429,1,0.1,0.5,0.0,0.1,0.1,0.8
39,2026-06-17 15:00:00+00:00,1.0,10,346,10,31,0.45161290322580644,0.07142857142857142,0.7142857142857143,1.0,0.7142857142857143,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.07142857142857142,0.07142857142857142,1,0.1,1.0,0.0,0.1,0.1,0.9
40,2026-06-17 16:00:00+00:00,0.1,1,347,7,22,0.45454545454545453,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0,0.0,0.14285714285714285,0.0,0.0,0.0,1.0
40,2026-06-17 16:00:00+00:00,0.25,2,347,7,22,0.45454545454545453,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0,0.0,0.2857142857142857,0.0,0.0,0.0,1.0
40,2026-06-17 16:00:00+00:00,0.5,4,347,7,22,0.45454545454545453,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.5,0,0.0,0.5714285714285714,0.0,0.0,0.0,1.0
40,2026-06-17 16:00:00+00:00,1.0,7,347,7,22,0.45454545454545453,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.1,0,0.0,1.0,0.0,0.0,0.0,1.0
41,2026-06-17 17:00:00+00:00,0.1,2,358,20,50,0.26,0.8461538461538461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8461538461538461,0.8461538461538461,0,0.0,0.1,0.0,0.0,0.0,1.0
41,2026-06-17 17:00:00+00:00,0.25,5,358,20,50,0.26,0.38461538461538464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,0.38461538461538464,0,0.0,0.25,0.0,0.0,0.0,1.0
41,2026-06-17 17:00:00+00:00,0.5,10,358,20,50,0.26,0.23076923076923078,1.0,1.0,0.8461538461538461,1.0,1.0,1.0,1.0,0.23076923076923078,0.23076923076923078,0,0.0,0.5,0.0,0.0,0.0,1.0
41,2026-06-17 17:00:00+00:00,1.0,20,358,20,50,0.26,0.07692307692307693,1.0,1.0,0.8461538461538461,1.0,1.0,1.0,1.0,0.07692307692307693,0.07692307692307693,0,0.0,1.0,0.05,0.0,0.0,1.0
42,2026-06-17 18:00:00+00:00,0.1,3,363,24,68,0.23529411764705882,0.4375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4375,0.4375,0,0.0,0.125,0.0,0.0,0.0,1.0
42,2026-06-17 18:00:00+00:00,0.25,6,363,24,68,0.23529411764705882,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3125,0,0.0,0.25,0.0,0.0,0.0,1.0
42,2026-06-17 18:00:00+00:00,0.5,12,363,24,68,0.23529411764705882,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1875,0.25,0,0.0,0.5,0.041666666666666664,0.0,0.0,1.0
42,2026-06-17 18:00:00+00:00,1.0,24,363,24,68,0.23529411764705882,0.0625,0.875,1.0,0.875,1.0,0.875,0.875,0.875,0.0625,0.0625,1,0.041666666666666664,1.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.9583333333333334
43,2026-06-17 19:00:00+00:00,0.1,3,346,26,75,0.25333333333333335,0.5263157894736842,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5263157894736842,0.5263157894736842,0,0.0,0.11538461538461539,0.0,0.0,0.0,1.0
43,2026-06-17 19:00:00+00:00,0.25,7,346,26,75,0.25333333333333335,0.2631578947368421,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21052631578947367,0.2631578947368421,0,0.0,0.2692307692307692,0.0,0.0,0.0,1.0
43,2026-06-17 19:00:00+00:00,0.5,13,346,26,75,0.25333333333333335,0.21052631578947367,1.0,1.0,0.9473684210526315,1.0,0.7894736842105263,1.0,1.0,0.15789473684210525,0.21052631578947367,0,0.0,0.5,0.038461538461538464,0.0,0.038461538461538464,1.0
43,2026-06-17 19:00:00+00:00,1.0,26,346,26,75,0.25333333333333335,0.05263157894736842,0.7894736842105263,1.0,0.7894736842105263,1.0,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.05263157894736842,0.05263157894736842,2,0.07692307692307693,1.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.9230769230769231
44,2026-06-17 20:00:00+00:00,0.1,4,300,31,80,0.25,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.95,0,0.0,0.12903225806451613,0.0,0.0,0.0,1.0
44,2026-06-17 20:00:00+00:00,0.25,8,300,31,80,0.25,0.25,0.95,1.0,0.95,1.0,0.95,0.95,0.95,0.2,0.25,1,0.03225806451612903,0.25806451612903225,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.875
44,2026-06-17 20:00:00+00:00,0.5,16,300,31,80,0.25,0.15,0.95,1.0,0.95,1.0,0.95,0.95,0.95,0.15,0.2,1,0.03225806451612903,0.5161290322580645,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.9375
44,2026-06-17 20:00:00+00:00,1.0,31,300,31,80,0.25,0.05,0.95,1.0,0.9,1.0,0.95,0.95,0.95,0.05,0.05,3,0.0967741935483871,1.0,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.9032258064516129
45,2026-06-17 21:00:00+00:00,0.1,4,255,33,84,0.2857142857142857,0.4583333333333333,1.0,1.0,0.8729166666666668,1.0,1.0,1.0,1.0,0.4583333333333333,0.4583333333333333,0,0.0,0.12121212121212122,0.0,0.0,0.0,1.0
45,2026-06-17 21:00:00+00:00,0.25,9,255,33,84,0.2857142857142857,0.2916666666666667,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.2916666666666667,0.2916666666666667,1,0.030303030303030304,0.2727272727272727,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.8888888888888888
45,2026-06-17 21:00:00+00:00,0.5,17,255,33,84,0.2857142857142857,0.125,1.0,0.9583333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.125,0.16666666666666666,1,0.030303030303030304,0.5151515151515151,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.9411764705882353
45,2026-06-17 21:00:00+00:00,1.0,33,255,33,84,0.2857142857142857,0.041666666666666664,0.875,0.875,0.7479166666666668,1.0,0.875,1.0,1.0,0.041666666666666664,0.041666666666666664,5,0.15151515151515152,1.0,0.12121212121212122,0.09090909090909091,0.15151515151515152,0.8484848484848485
46,2026-06-17 22:00:00+00:00,0.1,4,204,32,85,0.24705882352941178,0.5238095238095238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5238095238095238,0.5238095238095238,1,0.03125,0.125,0.0,0.03125,0.03125,0.75
46,2026-06-17 22:00:00+00:00,0.25,8,204,32,85,0.24705882352941178,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.2857142857142857,1,0.03125,0.25,0.03125,0.03125,0.03125,0.875
46,2026-06-17 22:00:00+00:00,0.5,16,204,32,85,0.24705882352941178,0.14285714285714285,1.0,1.0,0.9523809523809523,1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,1,0.03125,0.5,0.0625,0.03125,0.03125,0.9375
46,2026-06-17 22:00:00+00:00,1.0,32,204,32,85,0.24705882352941178,0.047619047619047616,0.5238095238095238,1.0,0.7142857142857143,1.0,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.047619047619047616,0.047619047619047616,6,0.1875,1.0,0.15625,0.1875,0.21875,0.8125
47,2026-06-17 23:00:00+00:00,0.1,3,176,21,52,0.5384615384615384,0.6071428571428571,1.0,1.0,0.8928571428571429,1.0,1.0,1.0,1.0,0.6071428571428571,0.6071428571428571,0,0.0,0.14285714285714285,0.0,0.0,0.0,1.0
47,2026-06-17 23:00:00+00:00,0.25,6,176,21,52,0.5384615384615384,0.17857142857142858,1.0,1.0,0.8214285714285714,1.0,1.0,1.0,1.0,0.17857142857142858,0.17857142857142858,1,0.047619047619047616,0.2857142857142857,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.8333333333333334
47,2026-06-17 23:00:00+00:00,0.5,11,176,21,52,0.5384615384615384,0.07142857142857142,1.0,1.0,0.7142857142857143,1.0,1.0,1.0,1.0,0.07142857142857142,0.07142857142857142,1,0.047619047619047616,0.5238095238095238,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.9090909090909091
47,2026-06-17 23:00:00+00:00,1.0,21,176,21,52,0.5384615384615384,0.03571428571428571,0.6071428571428571,0.9285714285714286,0.6053571428571429,1.0,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.03571428571428571,0.03571428571428571,5,0.23809523809523808,1.0,0.09523809523809523,0.19047619047619047,0.23809523809523808,0.7619047619047619
48,2026-06-18 00:00:00+00:00,0.1,2,166,16,39,0.9487179487179487,0.5675675675675675,1.0,1.0,0.7837837837837838,1.0,1.0,1.0,1.0,0.5135135135135135,0.5675675675675675,0,0.0,0.125,0.0,0.0,0.0,1.0
48,2026-06-18 00:00:00+00:00,0.25,4,166,16,39,0.9487179487179487,0.21621621621621623,0.7297297297297297,1.0,0.6486486486486487,1.0,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.21621621621621623,0.21621621621621623,1,0.0625,0.25,0.0,0.0625,0.0625,0.75
48,2026-06-18 00:00:00+00:00,0.5,8,166,16,39,0.9487179487179487,0.10810810810810811,0.7297297297297297,1.0,0.5675675675675675,1.0,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.10810810810810811,0.10810810810810811,1,0.0625,0.5,0.0625,0.0625,0.0625,0.875
