hour_index,time,requested_fraction_of_recent_resources,k,older_candidates,recent_resources,recent_labels,R6_0,Q6_recent_degree,Q6_older_degree,Q6_uniform_median,Q6_uniform_p05,Q6_uniform_p95,Q6_older_ties_p05,Q6_older_ties_median,Q6_older_ties_p95,Q6_recent_ties_p05,Q6_recent_ties_p95,recent_resources_selected_by_older_degree,recent_resource_coverage_older_degree,recent_resource_coverage_recent_degree,recent_resource_coverage_uniform_median,recent_resource_coverage_older_ties_p05,recent_resource_coverage_older_ties_p95,fraction_older_degree_actions_outside_recent
13,2026-06-16 13:00:00+00:00,0.5,25,49,49,67,0.6417910447761194,0.16279069767441862,0.16279069767441862,0.6744186046511628,0.3953488372093023,0.9069767441860465,0.13953488372093023,0.18604651162790697,0.18604651162790697,0.13953488372093023,0.18604651162790697,25,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.0
13,2026-06-16 13:00:00+00:00,1.0,49,49,49,67,0.6417910447761194,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,49,1.0,1.0,1.0,1.0,1.0,0.0
14,2026-06-16 14:00:00+00:00,0.1,5,49,41,58,0.8448275862068966,0.7551020408163265,0.7551020408163265,0.9795918367346939,0.7346938775510204,1.0,0.4897959183673469,0.5102040816326531,0.7551020408163265,0.7551020408163265,0.7551020408163265,5,0.12195121951219512,0.12195121951219512,0.0975609756097561,0.12195121951219512,0.12195121951219512,0.0
14,2026-06-16 14:00:00+00:00,0.25,11,49,41,58,0.8448275862068966,0.20408163265306123,0.20408163265306123,0.8163265306122449,0.5510204081632653,1.0,0.20408163265306123,0.24489795918367346,0.3673469387755102,0.20408163265306123,0.2653061224489796,11,0.2682926829268293,0.2682926829268293,0.21951219512195122,0.2682926829268293,0.2682926829268293,0.0
14,2026-06-16 14:00:00+00:00,0.5,21,49,41,58,0.8448275862068966,0.16326530612244897,0.16326530612244897,0.6122448979591837,0.3469387755102041,0.9183673469387755,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,20,0.4878048780487805,0.5121951219512195,0.4146341463414634,0.4878048780487805,0.5121951219512195,0.04761904761904767
14,2026-06-16 14:00:00+00:00,1.0,41,49,41,58,0.8448275862068966,0.02040816326530612,0.08163265306122448,0.20408163265306123,0.08163265306122448,0.40918367346938683,0.04081632653061224,0.061224489795918366,0.10204081632653061,0.02040816326530612,0.02040816326530612,33,0.8048780487804879,1.0,0.8292682926829268,0.8292682926829268,0.9024390243902439,0.19512195121951215
15,2026-06-16 15:00:00+00:00,0.1,4,50,34,49,0.9387755102040817,0.7608695652173914,0.717391304347826,0.9782608695652174,0.7391304347826086,1.0,0.45652173913043476,0.6956521739130435,0.717391304347826,0.7608695652173914,0.7608695652173914,4,0.11764705882352941,0.11764705882352941,0.08823529411764706,0.11764705882352941,0.11764705882352941,0.0
15,2026-06-16 15:00:00+00:00,0.25,9,50,34,49,0.9387755102040817,0.2608695652173913,0.2608695652173913,0.8913043478260869,0.6086956521739131,1.0,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,9,0.2647058823529412,0.2647058823529412,0.17647058823529413,0.2647058823529412,0.2647058823529412,0.0
15,2026-06-16 15:00:00+00:00,0.5,17,50,34,49,0.9387755102040817,0.17391304347826086,0.17391304347826086,0.6956521739130435,0.4119565217391305,0.9347826086956522,0.17391304347826086,0.21739130434782608,0.21739130434782608,0.17391304347826086,0.17391304347826086,16,0.47058823529411764,0.5,0.35294117647058826,0.47058823529411764,0.47058823529411764,0.05882352941176472
15,2026-06-16 15:00:00+00:00,1.0,34,50,34,49,0.9387755102040817,0.021739130434782608,0.15217391304347827,0.32608695652173914,0.17391304347826086,0.5652173913043478,0.06521739130434782,0.08695652173913043,0.15217391304347827,0.021739130434782608,0.021739130434782608,23,0.6764705882352942,1.0,0.6764705882352942,0.7058823529411765,0.8235294117647058,0.32352941176470584
16,2026-06-16 16:00:00+00:00,0.1,3,50,24,34,0.38235294117647056,1.0,0.8461538461538461,1.0,1.0,1.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,1.0,1.0,3,0.125,0.125,0.041666666666666664,0.125,0.125,0.0
16,2026-06-16 16:00:00+00:00,0.25,6,50,24,34,0.38235294117647056,0.9230769230769231,0.6923076923076923,1.0,0.9230769230769231,1.0,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.9230769230769231,1.0,6,0.25,0.25,0.125,0.25,0.25,0.0
16,2026-06-16 16:00:00+00:00,0.5,12,50,24,34,0.38235294117647056,0.8461538461538461,0.6153846153846154,1.0,0.6923076923076923,1.0,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.6153846153846154,0.9230769230769231,11,0.4583333333333333,0.5,0.25,0.4166666666666667,0.5,0.08333333333333337
16,2026-06-16 16:00:00+00:00,1.0,24,50,24,34,0.38235294117647056,0.07692307692307693,0.5384615384615384,0.8461538461538461,0.5384615384615384,1.0,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.07692307692307693,0.07692307692307693,17,0.7083333333333334,1.0,0.5,0.7083333333333334,0.7083333333333334,0.29166666666666663
17,2026-06-16 17:00:00+00:00,0.1,2,50,15,23,0.5652173913043478,1.0,1.0,1.0,0.8461538461538461,1.0,0.8461538461538461,1.0,1.0,1.0,1.0,0,0.0,0.13333333333333333,0.0,0.0,0.06666666666666667,1.0
17,2026-06-16 17:00:00+00:00,0.25,4,50,15,23,0.5652173913043478,0.8461538461538461,0.8461538461538461,1.0,0.6923076923076923,1.0,0.6923076923076923,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9230769230769231,2,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.5
17,2026-06-16 17:00:00+00:00,0.5,8,50,15,23,0.5652173913043478,0.38461538461538464,0.6923076923076923,0.9230769230769231,0.6923076923076923,1.0,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.3076923076923077,0.5384615384615384,4,0.26666666666666666,0.5333333333333333,0.13333333333333333,0.26666666666666666,0.3333333333333333,0.5
17,2026-06-16 17:00:00+00:00,1.0,15,50,15,23,0.5652173913043478,0.07692307692307693,0.5384615384615384,0.8461538461538461,0.46153846153846156,1.0,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.07692307692307693,0.07692307692307693,7,0.4666666666666667,1.0,0.3333333333333333,0.4,0.4666666666666667,0.5333333333333333
18,2026-06-16 18:00:00+00:00,0.1,1,51,10,12,0.6666666666666666,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.1,0.0,0.0,0.0,1.0
18,2026-06-16 18:00:00+00:00,0.25,3,51,10,12,0.6666666666666666,0.5,0.75,1.0,0.5,1.0,0.75,0.75,0.75,0.5,0.5,1,0.1,0.3,0.0,0.1,0.1,0.6666666666666667
18,2026-06-16 18:00:00+00:00,0.5,5,51,10,12,0.6666666666666666,0.5,0.75,1.0,0.5,1.0,0.5,0.5,0.75,0.25,0.5,2,0.2,0.5,0.1,0.2,0.3,0.6
18,2026-06-16 18:00:00+00:00,1.0,10,51,10,12,0.6666666666666666,0.125,0.5,0.875,0.5,1.0,0.5,0.5,0.5,0.125,0.125,4,0.4,1.0,0.2,0.4,0.4,0.6
19,2026-06-16 19:00:00+00:00,0.1,3,71,25,75,0.28,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.12,0.12,0.04,0.12,0.12,0.0
19,2026-06-16 19:00:00+00:00,0.25,7,71,25,75,0.28,0.42857142857142855,0.3333333333333333,0.9523809523809523,0.47619047619047616,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.42857142857142855,6,0.24,0.28,0.08,0.24,0.24,0.1428571428571429
19,2026-06-16 19:00:00+00:00,0.5,13,71,25,75,0.28,0.23809523809523808,0.23809523809523808,0.7619047619047619,0.38095238095238093,1.0,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.14285714285714285,0.23809523809523808,8,0.32,0.52,0.2,0.32,0.32,0.3846153846153846
19,2026-06-16 19:00:00+00:00,1.0,25,71,25,75,0.28,0.047619047619047616,0.14285714285714285,0.5238095238095238,0.38095238095238093,0.9523809523809523,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.047619047619047616,11,0.44,1.0,0.36,0.44,0.44,0.56
20,2026-06-16 20:00:00+00:00,0.1,9,122,86,323,0.9318885448916409,0.6411960132890365,0.6179401993355482,0.9601328903654485,0.8903654485049833,0.9933554817275747,0.6179401993355482,0.6179401993355482,0.6179401993355482,0.6411960132890365,0.6411960132890365,9,0.10465116279069768,0.10465116279069768,0.06976744186046512,0.10465116279069768,0.10465116279069768,0.0
20,2026-06-16 20:00:00+00:00,0.25,22,122,86,323,0.9318885448916409,0.26245847176079734,0.32558139534883723,0.8770764119601329,0.7840531561461794,0.946843853820598,0.32558139534883723,0.32558139534883723,0.32558139534883723,0.26245847176079734,0.26245847176079734,21,0.2441860465116279,0.2558139534883721,0.18604651162790697,0.2441860465116279,0.2441860465116279,0.045454545454545414
20,2026-06-16 20:00:00+00:00,0.5,43,122,86,323,0.9318885448916409,0.03986710963455149,0.04983388704318937,0.7408637873754153,0.6079734219269103,0.8473421926910297,0.04983388704318937,0.05647840531561462,0.05647840531561462,0.03986710963455149,0.04983388704318937,38,0.4418604651162791,0.5,0.3488372093023256,0.4186046511627907,0.4418604651162791,0.11627906976744184
20,2026-06-16 20:00:00+00:00,1.0,86,122,86,323,0.9318885448916409,0.0033222591362126247,0.009966777408637873,0.3488372093023256,0.15946843853820597,0.5250830564784051,0.009966777408637873,0.016611295681063124,0.026578073089700997,0.0033222591362126247,0.0033222591362126247,66,0.7674418604651163,1.0,0.7093023255813954,0.7325581395348837,0.7906976744186046,0.2325581395348837
21,2026-06-16 21:00:00+00:00,0.1,13,160,126,428,0.9462616822429907,0.6296296296296297,0.6469135802469136,0.9481481481481482,0.8938271604938272,0.9779012345679011,0.6345679012345679,0.6395061728395062,0.6469135802469136,0.6296296296296297,0.6296296296296297,13,0.10317460317460317,0.10317460317460317,0.07936507936507936,0.10317460317460317,0.10317460317460317,0.0
21,2026-06-16 21:00:00+00:00,0.25,32,160,126,428,0.9462616822429907,0.2271604938271605,0.2641975308641975,0.8641975308641975,0.7875308641975308,0.9260493827160493,0.2419753086419753,0.2641975308641975,0.2716049382716049,0.21728395061728395,0.23703703703703705,32,0.25396825396825395,0.25396825396825395,0.1984126984126984,0.25396825396825395,0.25396825396825395,0.0
